Department,Failure Rate,Number of Users,Campaign Count,Campaign Failures,Drive By Campaign Failure Rate,Data Entry Campaign Failure Rate,Attachment Campaign Failure Rate
Safety Health & Ind,5.30%,12,10,4,8.20%,0.00%,0.00%
USNG Accounting West,5.30%,7,10,3,2.80%,7.10%,14.30%
CA Gas Proj Const,5.30%,70,10,22,2.30%,4.80%,17.10%
NEOA4: Bus Ops,5.20%,25,10,10,4.30%,2.00%,16.00%
USNG Reg & Comm Law,5.20%,14,10,5,6.70%,0.00%,7.10%
SCS Purchasing CA,5.20%,21,10,7,2.40%,6.70%,14.30%
Cust Solut&Spec Proj,5.20%,8,10,3,5.70%,0.00%,14.30%
CGO - Eastern Region,5.10%,5,9,2,0.00%,10.00%,20.00%
Liquids Scheduling,5.10%,5,10,2,4.20%,0.00%,20.00%
Stakeholdr & SCM Law,5.10%,5,10,2,4.20%,10.00%,0.00%
USLFO RR Ppl,5.10%,22,10,8,3.10%,2.60%,18.20%
Canada Gas Control,5.10%,34,10,13,3.20%,0.00%,24.20%
MPL: Business Ops,5.10%,15,10,6,4.00%,3.60%,13.30%
BWR-North People,5.10%,28,10,11,2.90%,0.00%,25.00%
USSM Strge WE&T,5.10%,25,10,9,4.50%,7.10%,4.00%
CAEO Eastern Eng,5.00%,10,10,4,6.00%,0.00%,10.00%
CGO - Central Region,5.00%,6,8,2,0.00%,10.00%,16.70%
Coolidge Operations,5.00%,13,10,5,6.50%,0.00%,7.70%
DTO CLOUD OPS INF US,5.00%,5,10,2,0.00%,0.00%,40.00%
MM Warehouse CA SG,5.00%,8,8,2,0.00%,0.00%,33.30%
US Natural Gas Proj,5.00%,3,7,1,8.30%,0.00%,0.00%
Weld&Material Eng CA,5.00%,11,10,4,4.00%,5.00%,10.00%
Energy Napanee,5.00%,55,10,20,4.00%,1.00%,16.70%
USNG Con Serv East,4.90%,36,10,13,3.70%,4.50%,11.40%
CGO PI PM NW AB,4.90%,11,10,4,2.10%,0.00%,27.30%
Mid-States People,4.90%,21,10,8,2.00%,2.40%,23.80%
Fac Int & Reliab Eng,4.90%,16,10,6,5.10%,0.00%,12.50%
PI Proj Mgmt S AB&BC,4.90%,9,10,3,5.10%,7.70%,0.00%
COA2: Bus Ops,4.90%,32,10,12,3.30%,4.90%,12.50%
USTS Measure Serv,4.90%,42,10,16,3.00%,1.20%,21.40%
USTS Compress East,4.90%,30,10,11,3.50%,5.60%,10.00%
