Station Name,CALGARY INTL A,,,,,,,,,,,,,,,,,,,,,,
Province,ALBERTA,,,,,,,,,,,,,,,,,,,,,,
Current Station Operator,NAV Canada,,,,,,,,,,,,,,,,,,,,,,
Latitude,51.12,,,,,,,,,,,,,,,,,,,,,,
Longitude,-114.01,,,,,,,,,,,,,,,,,,,,,,
Elevation,1099.1,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,3031092,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71877,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YYC,,,,,,,,,,,,,,,,,,,,,,
All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,
NA,Not Available,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
1/6/2019 11:00,2019,1,6,11:00,-2.7,,-5.4,,81,,23,,8,,64.4,,86.38,,,,-6,,Mostly Cloudy
1/6/2019 12:00,2019,1,6,12:00,-0.6,,-4.5,,75,,0,,1,,64.4,,86.36,,,,-1,,NA
1/6/2019 13:00,2019,1,6,13:00,0.5,,-2.2,,83,,36,,3,,64.4,,86.37,,,,,,NA
1/6/2019 14:00,2019,1,6,14:00,1.3,,-1.3,,82,,36,,2,,64.4,,86.37,,,,,,Mostly Cloudy
1/6/2019 15:00,2019,1,6,15:00,5.7,,-8.8,,35,,27,,21,,64.4,,86.41,,,,,,NA
1/6/2019 16:00,2019,1,6,16:00,5.6,,-11.3,,29,,27,,30,,64.4,,86.42,,,,,,NA
1/6/2019 17:00,2019,1,6,17:00,4.7,,-11.1,,31,,27,,27,,64.4,,86.51,,,,,,Mostly Cloudy
1/6/2019 18:00,2019,1,6,18:00,3.1,,-10.1,,37,,26,,19,,24.1,,86.61,,,,,,NA
1/6/2019 19:00,2019,1,6,19:00,-3.7,,-10.1,,62,,3,,16,,24.1,,86.7,,,,-9,,NA
1/6/2019 20:00,2019,1,6,20:00,-6.8,,-8.7,,86,,1,,22,,12.9,,86.74,,,,-14,,Cloudy
1/6/2019 21:00,2019,1,6,21:00,-7,,-9.1,,86,,1,,17,,12.9,,86.81,,,,-13,,NA
1/6/2019 22:00,2019,1,6,22:00,-7,,-9.1,,85,,2,,19,,12.9,,86.86,,,,-14,,NA
1/6/2019 23:00,2019,1,6,23:00,-6.8,,-8.9,,85,,2,,9,,12.9,,86.92,,,,-11,,Cloudy
1/7/2019 0:00,2019,1,7,0:00,-6.6,,-8.6,,86,,36,,12,,11.3,,86.99,,,,-12,,NA
1/7/2019 1:00,2019,1,7,1:00,-6.7,,-8.9,,85,,35,,8,,12.9,,87.04,,,,-11,,NA
1/7/2019 2:00,2019,1,7,2:00,-7.4,,-9.5,,85,,34,,5,,12.9,,87.12,,,,-10,,Mainly Clear
1/7/2019 3:00,2019,1,7,3:00,-8.1,,-10.2,,85,,33,,8,,11.3,,87.18,,,,-12,,NA
1/7/2019 4:00,2019,1,7,4:00,-8.9,,-11,,85,,34,,7,,9.7,,87.23,,,,-13,,Fog
1/7/2019 5:00,2019,1,7,5:00,-8.8,,-10.8,,86,,31,,6,,11.3,,87.29,,,,-12,,Mainly Clear
1/7/2019 6:00,2019,1,7,6:00,-8.3,,-10.6,,84,,30,,7,,12.9,,87.35,,,,-12,,NA
1/7/2019 7:00,2019,1,7,7:00,-10.1,,-12.5,,83,,33,,8,,14.5,,87.43,,,,-15,,NA
