Line,Milepost_KM,CenterlineElevation_m,Comment,WallThickness,OutsideDiameter,WallRoughness,LocationType,LocationTag,Location,InnerPipeRadius_m,SegmentVolume_M3
Cushing,717.903,180.6,BRYAN,13.1,914.4,0.00004572,Pump Station,BRYAN-B0,BRYAN,0.4441,3391.070878
Cushing,723.376,167.8,BRYAN-01A-B0-MLV,13.1,914.4,0.00004572,Valve,BRYAN-01A-B0,BRYAN,0.4441,8835.496203
Cushing,737.636,144,BRYAN-01B-B0-MLV,11.8,914.4,0.00004572,Valve,BRYAN-01B-B0,BRYAN,0.4454,2851.290037
Cushing,742.211,142.5,BRYAN-02A-B0-MLV,13.1,914.4,0.00004572,Valve,BRYAN-02A-B0,BRYAN,0.4441,7389.349769
Cushing,754.137,162.5,BRYAN-02B-B0-MLV,11.8,914.4,0.00004572,Valve,BRYAN-02B-B0,BRYAN,0.4454,18969.33658
Cushing,784.574,123.3,BRYAN-03A-B0-MLV,13.1,914.4,0.00004572,Valve,BRYAN-03A-B0,BRYAN,0.4441,3470.99928
Cushing,790.176,139.9,BRYAN-04A-B0-MLV,13.1,914.4,0.00004572,Valve,BRYAN-04A-B0,BRYAN,0.4441,2303.053253
Cushing,793.893,128.7,DELTA,13.1,914.4,0.00004572,Pump Station,DELTA-B0,DELTA,0.4441,5876.286535
Cushing,803.377,114.9,DELTA-01A-B0-MLV,11.8,914.4,0.00004572,Valve,DELTA-01A-B0,DELTA,0.4454,2544.036269
Cushing,807.459,113.5,DELTA-02A-B0-MLV,13.1,914.4,0.00004572,Valve,DELTA-02A-B0,DELTA,0.4441,17112.73279
Cushing,835.078,141.2,DELTA-03A-B0-MLV,11.8,914.4,0.00004572,Valve,DELTA-03A-B0,DELTA,0.4454,13414.46268
Cushing,856.602,136.2,DELTA-04A-B0-MLV,13.1,914.4,0.00004572,Valve,DELTA-04A-B0,DELTA,0.4441,5191.008919
Cushing,864.98,182.2,WNSBR,13.1,914.4,0.00004572,Pump Station,WNSBR-B0,WNSBR,0.4441,13801.59032
Cushing,887.255,137.6,WNSBR-01B-B0-MLV,13.1,914.4,0.00004572,Valve,WNSBR-01B-B0,WNSBR,0.4441,9875.185026
Cushing,903.193,85,WNSBR-01A-B0-MLV,11.8,914.4,0.00004572,Valve,WNSBR-01A-B0,WNSBR,0.4454,5356.062639
Cushing,911.787,106.4,WNSBR-02A-B0-MLV,13.1,914.4,0.00004572,Valve,WNSBR-02A-B0,WNSBR,0.4441,10030.70463
Cushing,927.976,132.2,WNSBR-03A-B0-MLV,13.1,914.4,0.00004572,Valve,WNSBR-03A-B0,WNSBR,0.4441,6584.489351
Cushing,938.603,150.9,LKTLR,13.1,914.4,0.00004572,Pump Station,LKTLR-B0,LKTLR,0.4441,15572.40716
Cushing,963.736,102.2,LKTLR-01A-B0-MLV,11.8,914.4,0.00004572,Valve,LKTLR-01A-B0,LKTLR,0.4454,15511.0178
Cushing,988.624,100,LKTLR-02A-B0-MLV,13.1,914.4,0.00004572,Valve,LKTLR-02A-B0,LKTLR,0.4441,15375.37435
Cushing,1013.439,96.1,LKTLR-03A-B0-MLV,13.1,914.4,0.00004572,Valve,LKTLR-03A-B0,LKTLR,0.4441,7933.358582
Cushing,1026.243,70,LUFKN,13.1,914.4,0.00004572,Pump Station,LUFKN-B0,LUFKN,0.4441,11431.62026
Cushing,1044.693,76.3,LUFKN-01B-B0-MLV,11.8,914.4,0.00004572,Valve,LUFKN-01B-B0,LUFKN,0.4454,16260.14362
Cushing,1070.783,45.5,LUFKN-01A-B0-MLV,11.8,914.4,0.00004572,Valve,LUFKN-01A-B0,LUFKN,0.4454,5380.368718
Cushing,1079.416,76,LUFKN-02A-B0-MLV,11.8,914.4,0.00004572,Valve,LUFKN-02A-B0,LUFKN,0.4454,9361.579812
Cushing,1094.437,86.9,CORGN,13.1,914.4,0.00004572,Pump Station,CORGN-B0,CORGN,0.4441,19951.74006
Cushing,1126.638,89.6,CORGN-01B-B0-MLV,11.8,914.4,0.00004572,Valve,CORGN-01B-B0,CORGN,0.4454,7966.784817
Cushing,1139.421,66.1,CORGN-01A-B0-MLV,11.8,914.4,0.00004572,Valve,CORGN-01A-B0,CORGN,0.4454,11749.18465
Cushing,1158.273,32.8,CORGN-02A-B0-MLV,11.8,914.4,0.00004572,Valve,CORGN-02A-B0,CORGN,0.4454,9853.310487
Cushing,1174.083,25.6,CORGN-03A-B0-MLV,11.8,914.4,0.00004572,Valve,CORGN-03A-B0,CORGN,0.4454,5288.753497
Cushing,1182.569,22.1,LIBRT,13.1,914.4,0.00004572,Pump Station,LIBRT-B0,LIBRT,0.4441,13318.92191
Cushing,1204.065,-0.8,DCTGO,19,914.4,0.00004572,Pump Station,DCTGO-B0,DCTGO,0.4382,0
Cushing,1204.065,-0.8,LIBRT-01A-B0-MLV,19,914.4,0.00004572,Valve,LIBRT-01A-B0,LIBRT,0.4382,5859.330668
Cushing,1213.778,9.4,LIBRT-02A-BO-MLV,11.8,914.4,0.00004572,Valve,LIBRT-02A-B0,LIBRT,0.4454,7781.061444
Cushing,1226.263,2.4,LIBRT-03A-B0-MLV,11.8,914.4,0.00004572,Valve,LIBRT-03A-B0,LIBRT,0.4454,7890.127183
Cushing,1238.923,0.5,LIBRT-04A-B0-MLV,13.1,914.4,0.00004572,Valve,LIBRT-04A-B0,LIBRT,0.4441,7352.793369
Cushing,1250.79,-9.6,DLUCS,13.1,914.4,0.00004572,Pump Station,DLUCS-B0,DLUCS,0.4441,0
Cushing,1250.79,-9.6,LIBRT-05A-B0-MLV,13.1,914.4,0.00004572,Valve,LIBRT-05A-B0,LIBRT,0.4441,6295.755744
Cushing,1260.951,4,NDRLD,15.7,914.4,0.00004572,Pump Station,NDRLD-B0,NDRLD,0.4415,0
HoustonLateralLiberty,1182.56937,22.67712,LIBRH,14.5,914.4,0.00004572,Pump Station,LIBRH-B0,LIBRH,0.4427,47837.54271
HoustonLateralLiberty,1260.2656,8.613648,EHSNT,13.1,914.4,0.00004572,Pump Station,EHSNT-B0,EHSNT,0.4441,0
