"Station Name","CALGARY INTL A"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","51.12"
"Longitude","-114.01"
"Elevation","1099.10"
"Climate Identifier","3031092"
"WMO Identifier","71877"
"TC Identifier","YYC"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-04-13 12:00","2019","04","13","12:00","8.3","","-7.8","","31","","28","","10","","64.4","","87.89","","","","","","NA"
"2019-04-13 13:00","2019","04","13","13:00","8.7","","-7.1","","32","","23","","11","","64.4","","87.77","","","","","","NA"
"2019-04-13 14:00","2019","04","13","14:00","9.6","","-6.9","","31","","18","","19","","64.4","","87.67","","","","","","Mostly Cloudy"
"2019-04-13 15:00","2019","04","13","15:00","10.4","","-7.1","","28","","19","","19","","64.4","","87.56","","","","","","NA"
"2019-04-13 16:00","2019","04","13","16:00","10.7","","-5.7","","31","","21","","18","","64.4","","87.45","","","","","","NA"
"2019-04-13 17:00","2019","04","13","17:00","10.5","","-5.6","","32","","18","","7","","64.4","","87.40","","","","","","Cloudy"
"2019-04-13 18:00","2019","04","13","18:00","10.4","","-6.2","","31","","26","","7","","64.4","","87.34","","","","","","NA"
"2019-04-13 19:00","2019","04","13","19:00","9.2","","-4.9","","37","","34","","8","","32.2","","87.29","","","","","","NA"
"2019-04-13 20:00","2019","04","13","20:00","8.6","","-5.1","","37","","28","","8","","24.1","","87.26","","","","","","Mostly Cloudy"
"2019-04-13 21:00","2019","04","13","21:00","7.5","","-4.7","","42","","26","","8","","24.1","","87.25","","","","","","NA"
"2019-04-13 22:00","2019","04","13","22:00","6.2","","-4.4","","47","","26","","12","","24.1","","87.26","","","","","","NA"
"2019-04-13 23:00","2019","04","13","23:00","5.1","","-4.7","","49","","25","","10","","24.1","","87.25","","","","","","Mainly Clear"
"2019-04-14 00:00","2019","04","14","00:00","3.7","","-4.6","","55","","23","","9","","24.1","","87.24","","","","","","NA"
"2019-04-14 01:00","2019","04","14","01:00","2.9","","-4.6","","58","","22","","10","","24.1","","87.23","","","","","","NA"
"2019-04-14 02:00","2019","04","14","02:00","4.0","","-5.3","","51","","25","","7","","24.1","","87.21","","","","","","Mostly Cloudy"
"2019-04-14 03:00","2019","04","14","03:00","3.0","","-5.2","","55","","23","","17","","24.1","","87.18","","","","","","NA"
"2019-04-14 04:00","2019","04","14","04:00","3.5","","-5.9","","50","","25","","11","","24.1","","87.16","","","","","","NA"
"2019-04-14 05:00","2019","04","14","05:00","3.6","","-6.4","","48","","28","","11","","24.1","","87.17","","","","","","Mostly Cloudy"
"2019-04-14 06:00","2019","04","14","06:00","4.1","","-6.7","","45","","29","","16","","48.3","","87.18","","","","","","NA"
"2019-04-14 07:00","2019","04","14","07:00","4.5","","-6.5","","45","","26","","16","","64.4","","87.17","","","","","","NA"
"2019-04-14 08:00","2019","04","14","08:00","4.8","","-6.4","","44","","28","","23","","64.4","","87.23","","","","","","Mostly Cloudy"
"2019-04-14 09:00","2019","04","14","09:00","4.4","","-3.7","","56","","33","","33","","24.1","","87.33","","","","","","NA"
"2019-04-14 10:00","2019","04","14","10:00","3.0","","-1.9","","70","","34","","34","","22.5","","87.39","","","","","","Snow Showers"
"2019-04-14 11:00","2019","04","14","11:00","4.4","","-2.9","","59","","30","","13","","32.2","","87.38","","","","","","Mostly Cloudy"
"2019-04-14 12:00","2019","04","14","12:00","8.9","","-3.9","","40","","35","","16","","64.4","","87.37","","","","","","NA"
"2019-04-14 13:00","2019","04","14","13:00","8.5","","-5.4","","37","","3","","14","","24.1","","87.34","","","","","","NA"
"2019-04-14 14:00","2019","04","14","14:00","7.6","","-2.7","","48","","35","","40","","19.3","","87.40","","","","","","Mostly Cloudy"
"2019-04-14 15:00","2019","04","14","15:00","8.0","","-2.5","","47","","3","","27","","32.2","","87.43","","","","","","NA"
"2019-04-14 16:00","2019","04","14","16:00","7.7","","-5.1","","40","","36","","17","","64.4","","87.46","","","","","","NA"
"2019-04-14 17:00","2019","04","14","17:00","7.5","","-5.6","","39","","34","","10","","48.3","","87.50","","","","","","Mostly Cloudy"
"2019-04-14 18:00","2019","04","14","18:00","7.1","","-3.0","","49","","5","","23","","40.2","","87.55","","","","","","NA"
"2019-04-14 19:00","2019","04","14","19:00","5.8","","-2.7","","55","","5","","7","","32.2","","87.58","","","","","","NA"
"2019-04-14 20:00","2019","04","14","20:00","6.0","","-3.6","","50","","23","","10","","32.2","","87.60","","","","","","Mainly Clear"
"2019-04-14 21:00","2019","04","14","21:00","4.7","","-3.2","","56","","23","","7","","24.1","","87.66","","","","","","NA"
"2019-04-14 22:00","2019","04","14","22:00","1.8","","-4.6","","63","","2","","18","","24.1","","87.73","","","","","","NA"
"2019-04-14 23:00","2019","04","14","23:00","2.4","","-3.7","","64","","27","","8","","24.1","","87.73","","","","","","Mainly Clear"
"2019-04-15 00:00","2019","04","15","00:00","0.6","","-5.3","","64","","23","","7","","24.1","","87.75","","","","","","NA"
